City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mnogovershinnyy,53.9353,139.9242,-33.36,98,100,1.47,RU,1674555355
83,harer,9.3094,42.1258,24.53,27,97,4.57,ET,1674555210
84,magnor,59.9511,12.1996,2.85,100,100,1.27,SE,1674555356
85,victoria,22.2855,114.1577,16.03,42,11,6.71,HK,1674555100
86,hun,29.1268,15.9477,18.83,19,86,3.98,LY,1674555202
87,satun,6.8333,100.0,28.78,72,73,3.93,TH,1674555338
88,ribeira grande,38.5167,-28.7,15.99,88,75,8.23,PT,1674555358
89,yerbogachen,61.2767,108.0108,-39.92,100,72,0.2,RU,1674555358
90,hashtrud,37.4779,47.0508,-3.51,60,3,1.9,IR,1674555271
91,tuatapere,-46.1333,167.6833,9.51,85,2,1.07,NZ,1674555359
92,borogontsy,62.6683,131.1683,-39.99,97,100,1.83,RU,1674555359
93,lagoa,39.05,-27.9833,15.44,75,100,7.6,PT,1674555360
94,new norfolk,-42.7826,147.0587,19.72,63,79,0.85,AU,1674555361
95,kununurra,-15.7667,128.7333,33.99,49,75,2.57,AU,1674555066
96,monrovia,6.3005,-10.7969,26.87,78,100,1.05,LR,1674555166
97,mar del plata,-38.0023,-57.5575,18.26,77,4,4.02,AR,1674555362
98,bambanglipuro,-7.95,110.2833,28.41,73,82,4.03,ID,1674555342
99,palmer,42.1584,-72.3287,0.83,79,100,3.09,US,1674555362
100,butaritari,3.0707,172.7902,27.36,80,98,7.9,KI,1674555363
101,lubumbashi,-11.6609,27.4794,23.0,78,99,3.69,CD,1674555363
102,yantal,56.8471,105.2542,-20.66,98,100,1.17,RU,1674555363
103,najran,17.4924,44.1277,24.36,19,1,1.04,SA,1674555364
104,longyearbyen,78.2186,15.6401,-3.09,86,100,10.29,SJ,1674555364
105,hami,42.8,93.45,-7.31,20,1,0.74,CN,1674555235
106,cayenne,4.9333,-52.3333,25.02,78,75,3.6,GF,1674555364
107,stornoway,58.2093,-6.3865,10.58,94,75,7.2,GB,1674555365
108,kapaa,22.0752,-159.319,21.18,88,0,3.09,US,1674555157
109,lajoskomarom,46.842,18.3376,4.71,85,100,1.44,HU,1674555366
110,calama,-22.4667,-68.9333,9.27,76,0,6.69,CL,1674555081
111,hailar,49.2,119.7,-31.32,93,6,4.07,CN,1674555108
112,grindavik,63.8424,-22.4338,4.97,93,75,5.66,IS,1674555367
113,gavle,60.6745,17.1417,3.52,88,100,1.34,SE,1674555367
114,diffa,13.3154,12.6113,30.32,10,89,6.37,NE,1674555368
115,grevesmuhlen,53.8667,11.1833,1.86,87,99,0.66,DE,1674555368
116,hofn,64.2539,-15.2082,4.73,95,100,5.25,IS,1674555368
117,cabedelo,-6.9811,-34.8339,26.37,75,9,4.47,BR,1674555369
118,boueni,-12.9025,45.0761,29.99,79,100,8.61,YT,1674555369
119,deputatskiy,69.3,139.9,-36.9,98,100,1.22,RU,1674555369
120,srivardhan,18.0333,73.0167,23.64,60,4,7.49,IN,1674555370
121,cabo san lucas,22.8909,-109.9124,16.95,75,93,2.9,MX,1674555079
122,sisimiut,66.9395,-53.6735,-6.48,92,100,4.24,GL,1674555371
123,havoysund,70.9963,24.6622,0.13,71,58,18.77,NO,1674555372
124,ouahigouya,13.5828,-2.4216,32.49,12,38,3.59,BF,1674555372
125,yining,29.0361,114.5636,1.05,43,0,2.41,CN,1674555373
126,san carlos de bariloche,-41.1456,-71.3082,7.91,84,50,4.35,AR,1674555373
127,lakatoro,-16.0999,167.4164,27.21,82,90,3.19,VU,1674555374
128,sola,-13.8833,167.55,28.02,70,98,3.18,VU,1674555374
129,olafsvik,64.8945,-23.7142,5.36,91,73,9.51,IS,1674555374
130,naze,28.3667,129.4833,5.51,79,100,13.57,JP,1674555375
131,celestun,20.8667,-90.4,22.47,83,0,5.43,MX,1674555375
132,tongling,30.95,117.7833,-0.86,42,61,5.01,CN,1674555375
133,newport,51.5877,-2.9984,2.51,90,16,0.5,GB,1674555376
134,leningradskiy,69.3833,178.4167,-31.06,92,20,3.97,RU,1674555376
135,egersund,58.4513,5.9997,6.12,99,100,1.3,NO,1674555376
136,constitucion,-35.3333,-72.4167,16.44,92,71,0.42,CL,1674555377
137,sinnamary,5.3833,-52.95,24.16,82,48,4.99,GF,1674555377
138,tiznit,29.5833,-9.5,13.07,46,0,0.77,MA,1674555378
139,san carlos del zulia,9.0,-71.9135,22.37,91,85,0.97,VE,1674555280
140,kavaratti,10.5669,72.642,26.51,73,91,6.05,IN,1674555378
141,aklavik,68.2191,-135.0107,-22.24,97,100,4.64,CA,1674555379
142,itupiranga,-5.1347,-49.3267,24.18,98,67,0.74,BR,1674555379
143,husavik,66.0449,-17.3389,1.12,84,90,3.38,IS,1674555380
144,qaanaaq,77.484,-69.3632,-24.06,64,29,2.06,GL,1674555380
145,kamenka,51.3223,42.7678,-2.6,62,87,2.07,RU,1674555380
146,nanortalik,60.1432,-45.2371,-0.75,87,100,3.47,GL,1674555381
147,magaria,12.9983,8.9099,29.43,10,20,4.66,NE,1674555381
148,stepnogorsk,52.3544,71.8869,-11.55,93,19,3.75,KZ,1674555135
149,aquiraz,-3.9014,-38.3911,26.92,83,100,1.47,BR,1674555382
150,bluff,-46.6,168.3333,12.34,70,5,5.04,NZ,1674555383
151,tabuk,17.4189,121.4443,20.54,91,48,6.98,PH,1674555383
152,yulara,-25.2406,130.9889,33.57,16,97,2.45,AU,1674555384
153,coolum beach,-26.5333,153.1,24.5,86,76,0.25,AU,1674555384
154,ponta do sol,32.6667,-17.1,18.96,61,7,3.46,PT,1674555384
155,port hedland,-20.3167,118.5667,30.03,74,40,5.14,AU,1674555385
156,airai,-8.9266,125.4092,17.35,92,100,0.81,TL,1674555386
157,san clemente,33.427,-117.612,12.57,42,0,1.79,US,1674555387
158,acapulco,16.8634,-99.8901,20.9,78,0,1.03,MX,1674555387
159,albertville,34.2676,-86.2089,3.03,87,0,2.06,US,1674555388
160,taveta,-3.3963,37.6736,30.55,42,100,5.48,KE,1674555389
161,norman wells,65.282,-126.8329,-23.98,84,100,0.0,CA,1674555390
162,luanda,-8.8368,13.2343,29.0,74,40,2.06,AO,1674555390
163,portobelo,9.55,-79.65,24.5,88,40,5.06,PA,1674555390
164,clyde river,70.4692,-68.5914,-29.87,76,100,5.14,CA,1674555391
165,providencia,28.7167,-111.5833,8.47,38,0,1.62,MX,1674555391
166,ust-nera,64.5667,143.2,-39.07,99,31,0.81,RU,1674555391
167,flinders,-34.5833,150.8552,20.77,80,98,1.43,AU,1674555392
168,kapit,2.0167,112.9333,24.92,97,100,1.15,MY,1674555393
169,midland,31.9974,-102.0779,2.37,94,100,6.69,US,1674555200
170,chapais,49.7834,-74.8492,-6.12,95,100,4.81,CA,1674555393
171,samarai,-10.6167,150.6667,28.34,77,100,5.95,PG,1674555393
172,alamos,27.0167,-108.9333,8.02,55,46,1.71,MX,1674555394
173,vila velha,-20.3297,-40.2925,22.97,98,75,1.54,BR,1674555394
174,faanui,-16.4833,-151.75,26.22,73,100,4.99,PF,1674555395
175,vaitape,-16.5167,-151.75,26.19,73,100,4.89,PF,1674555395
176,namibe,-15.1961,12.1522,24.84,77,89,3.74,AO,1674555395
177,djibo,14.1022,-1.6306,31.0,12,38,3.05,BF,1674555397
178,luan,46.3592,6.9759,-3.68,80,38,1.13,CH,1674555397
179,reno,39.5296,-119.8138,-4.31,80,0,1.54,US,1674555216
180,boddam,57.4667,-1.7833,10.24,88,100,3.23,GB,1674555398
181,sao geraldo do araguaia,-6.4006,-48.555,22.01,98,30,1.09,BR,1674555399
182,bambous virieux,-20.3428,57.7575,28.14,65,75,4.12,MU,1674555399
183,susanino,58.1461,41.5872,-6.63,96,99,4.01,RU,1674555399
184,lodwar,3.1191,35.5973,35.27,25,16,9.3,KE,1674555398
185,pokhara,28.2333,83.9833,24.0,18,1,2.77,NP,1674555400
186,liepaja,56.5419,21.0367,1.99,75,100,6.69,LV,1674555179
187,touros,-5.1989,-35.4608,26.98,72,31,4.33,BR,1674555401
188,banda aceh,5.5577,95.3222,24.72,87,93,7.01,ID,1674555401
189,poum,-20.2333,164.0167,27.45,78,80,1.81,NC,1674555401
190,london,51.5085,-0.1257,4.64,84,100,3.09,GB,1674554973
191,tabou,4.423,-7.3528,28.18,73,73,2.14,CI,1674555402
192,pevek,69.7008,170.3133,-26.67,74,82,1.25,RU,1674555403
193,naqadeh,36.9553,45.388,1.91,53,46,3.64,IR,1674555403
194,muroran,42.3172,140.9881,-9.84,76,100,12.02,JP,1674555311
195,dingle,10.9995,122.6711,24.2,84,48,5.6,PH,1674555404
196,ilulissat,69.2167,-51.1,-4.99,58,75,10.8,GL,1674555404
197,tezu,27.9167,96.1667,24.37,27,56,0.75,IN,1674555404
198,chokurdakh,70.6333,147.9167,-30.93,92,100,0.73,RU,1674555405
199,octeville,49.6261,-1.6435,6.27,81,100,5.66,FR,1674555156
200,dorogobuzh,54.915,33.2972,-0.64,90,100,1.99,RU,1674555406
